"edibility","cap_shape","cap_surface","cap_color","bruises","odor","gill_attachement","gill_spacing","gill_size","gill_color","stalk_shape","stalk_root","stalk_surface_above_ring","stalk_surface_below_ring","stalk_color_above_ring","stalk_color_below_ring","veil_type","veil_color","ring_number","ring_type","spore_print_color","population","habitat"
"poisonous","bell","smooth","white","no","fishy","notched","close","narrow","brown","tapering","club","smooth","smooth","gray","gray","partial","white","b","sheathing","chocolate","scattered","grasses"
"poisonous","sunken","grooves","yellow","yes","musty","descending","close","narrow","chocolate","enlarging","equal","smooth","smooth","purple","purple","partial","white","b","pendant","purple","scattered","waste"
"edible","conical","scaly","pink","no","almond","notched","distant","narrow","pink","tapering","cup","smooth","smooth","purple","purple","universal","white","one","sheathing","brown","clustered","meadows"
"poisonous","convex","smooth","gray","yes","fishy","descending","close","narrow","chocolate","enlarging","equal","scaly","scaly","purple","gray","partial","orange","one","large","brown","scattered","wood"
"edible","conical","smooth","yellow","yes","anise","descending","distant","broad","pink","enlarging","cup","scaly","smooth","buff","purple","partial","white","b","pendant","purple","scattered","wood"
"edible","bell","smooth","white","yes","almond","attached","distant","broad","white","enlarging","missing","smooth","fibrous","purple","purple","partial","brown","one","pendant","green","several","wood"
"edible","bell","scaly","white","no","anise","free","close","broad","orange","tapering","club","smooth","smooth","gray","gray","universal","white","one","none","black","abundant","leaves"
"poisonous","flat","grooves","green","yes","creosote","descending","crowded","narrow","buff","enlarging","equal","scaly","scaly","cinnamon","purple","partial","white","two","flaring","brown","numerous","waste"
"edible","flat","smooth","red","yes","almond","attached","close","broad","brown","enlarging","equal","fibrous","smooth","brown","purple","partial","brown","one","pendant","black","scattered","grasses"
"edible","knobbed","smooth","purple","yes","anise","free","distant","broad","white","enlarging","cup","scaly","smooth","buff","purple","partial","orange","one","pendant","brown","several","meadows"
"edible","bell","scaly","green","no","none","free","close","narrow","black","tapering","equal","smooth","smooth","red","purple","partial","yellow","one","pendant","black","abundant","urban"
"edible","flat","scaly","yellow","yes","almond","free","close","narrow","chocolate","tapering","equal","silky","smooth","gray","gray","partial","white","one","pendant","white","several","leaves"
"edible","bell","scaly","pink","yes","anise","free","close","broad","gray","enlarging","rhizomorphs","silky","silky","cinnamon","purple","partial","white","two","none","brown","solitary","paths"
"poisonous","convex","smooth","white","yes","creosote","free","crowded","broad","purple","enlarging","rooted","smooth","scaly","gray","gray","partial","white","one","pendant","brown","scattered","leaves"
"edible","knobbed","smooth","green","yes","foul","free","distant","broad","white","enlarging","missing","smooth","scaly","pink","purple","partial","white","one","flaring","green","several","urban"
"edible","flat","smooth","red","yes","anise","free","close","broad","red","enlarging","rhizomorphs","fibrous","fibrous","purple","purple","partial","white","one","pendant","brown","scattered","paths"
"edible","bell","grooves","brown","yes","anise","free","close","broad","brown","enlarging","club","smooth","smooth","brown","brown","partial","orange","b","large","brown","abundant","meadows"
"edible","convex","scaly","cinnamon","no","anise","free","crowded","narrow","purple","tapering","rooted","smooth","smooth","white","white","partial","white","two","pendant","yellow","numerous","urban"
"edible","sunken","fibrous","gray","no","none","attached","close","broad","black","enlarging","equal","fibrous","fibrous","purple","gray","partial","brown","b","pendant","black","abundant","urban"
"poisonous","sunken","scaly","brown","yes","pungent","free","crowded","narrow","yellow","tapering","rhizomorphs","smooth","smooth","cinnamon","purple","universal","white","two","pendant","brown","scattered","urban"
"edible","convex","grooves","buff","yes","fishy","descending","close","narrow","red","tapering","club","scaly","smooth","gray","gray","partial","orange","b","pendant","chocolate","scattered","urban"
"edible","flat","scaly","yellow","no","anise","free","close","narrow","black","enlarging","cup","smooth","smooth","purple","purple","partial","yellow","b","pendant","black","scattered","leaves"
"edible","convex","fibrous","cinnamon","yes","almond","free","crowded","broad","purple","enlarging","rooted","smooth","fibrous","cinnamon","purple","partial","brown","two","cobwebby","brown","numerous","urban"
"edible","convex","smooth","yellow","no","anise","notched","close","broad","chocolate","enlarging","equal","smooth","scaly","purple","brown","universal","yellow","one","pendant","black","solitary","paths"
"edible","convex","fibrous","brown","no","none","descending","crowded","broad","green","enlarging","equal","scaly","scaly","white","purple","partial","white","two","flaring","black","solitary","wood"
"poisonous","convex","grooves","yellow","yes","pungent","descending","distant","broad","pink","enlarging","cup","scaly","scaly","purple","purple","partial","orange","one","flaring","white","several","wood"
"edible","convex","scaly","brown","yes","foul","notched","distant","broad","gray","enlarging","missing","smooth","smooth","pink","purple","universal","white","one","zone","green","numerous","urban"
"edible","convex","scaly","purple","no","fishy","notched","close","broad","black","enlarging","club","smooth","smooth","gray","purple","universal","yellow","b","pendant","chocolate","numerous","paths"
"edible","convex","fibrous","yellow","yes","anise","attached","close","broad","black","enlarging","equal","fibrous","fibrous","purple","brown","partial","brown","one","pendant","black","scattered","meadows"
"edible","knobbed","scaly","purple","no","pungent","free","close","narrow","gray","tapering","missing","smooth","smooth","purple","purple","universal","white","one","zone","brown","scattered","grasses"
"edible","bell","smooth","yellow","no","anise","free","close","broad","orange","enlarging","club","smooth","silky","red","purple","partial","white","one","pendant","purple","scattered","paths"
"edible","flat","smooth","yellow","no","anise","free","close","narrow","chocolate","tapering","equal","smooth","smooth","purple","red","universal","yellow","one","zone","black","scattered","urban"
"edible","convex","scaly","brown","no","almond","free","close","narrow","white","enlarging","club","smooth","scaly","purple","brown","partial","white","b","pendant","black","abundant","grasses"
"edible","sunken","scaly","red","no","creosote","free","crowded","broad","yellow","enlarging","rhizomorphs","smooth","smooth","cinnamon","cinnamon","universal","white","one","none","black","scattered","urban"
"edible","bell","scaly","white","yes","anise","free","close","broad","orange","tapering","cup","silky","smooth","purple","brown","universal","white","b","none","black","numerous","meadows"
"poisonous","convex","smooth","purple","yes","foul","free","close","narrow","black","enlarging","equal","scaly","smooth","pink","purple","partial","orange","one","pendant","brown","scattered","urban"
"poisonous","sunken","smooth","red","yes","spicy","free","crowded","narrow","green","tapering","equal","silky","smooth","purple","purple","partial","white","two","pendant","yellow","several","urban"
"edible","conical","fibrous","red","yes","pungent","free","distant","broad","white","enlarging","cup","fibrous","fibrous","purple","purple","partial","white","one","evanescent","black","scattered","meadows"
"edible","flat","scaly","pink","no","none","free","close","narrow","brown","tapering","equal","smooth","smooth","gray","purple","partial","yellow","b","sheathing","chocolate","abundant","wood"
"edible","bell","scaly","white","yes","anise","free","distant","broad","white","enlarging","cup","smooth","smooth","buff","purple","partial","white","one","evanescent","brown","numerous","urban"
"edible","convex","scaly","yellow","yes","spicy","free","crowded","broad","green","tapering","rhizomorphs","smooth","smooth","white","white","universal","yellow","two","sheathing","yellow","solitary","grasses"
"edible","convex","smooth","brown","yes","none","descending","close","broad","pink","enlarging","club","smooth","scaly","red","purple","partial","white","b","large","purple","abundant","urban"
"edible","knobbed","fibrous","gray","yes","spicy","descending","crowded","broad","purple","enlarging","equal","scaly","scaly","white","white","partial","white","two","large","brown","several","wood"
"edible","bell","fibrous","yellow","yes","almond","attached","close","broad","chocolate","enlarging","equal","fibrous","fibrous","red","red","partial","brown","b","pendant","purple","scattered","grasses"
"edible","bell","scaly","brown","yes","anise","free","distant","narrow","gray","tapering","cup","smooth","smooth","buff","buff","universal","yellow","one","sheathing","brown","scattered","grasses"
"edible","bell","smooth","yellow","yes","almond","free","close","narrow","gray","enlarging","equal","silky","silky","purple","brown","partial","white","b","pendant","brown","scattered","meadows"
"edible","conical","grooves","yellow","yes","anise","free","close","broad","pink","enlarging","cup","smooth","smooth","buff","purple","partial","white","one","flaring","brown","scattered","grasses"
"edible","flat","scaly","gray","no","none","notched","close","narrow","black","tapering","equal","smooth","smooth","red","red","partial","white","one","zone","purple","scattered","paths"
"edible","convex","scaly","white","yes","anise","free","close","broad","brown","enlarging","club","silky","silky","brown","brown","universal","white","one","none","black","scattered","grasses"
"edible","knobbed","smooth","yellow","no","pungent","free","close","narrow","white","enlarging","missing","smooth","silky","purple","purple","universal","white","one","none","brown","several","wood"
"edible","conical","smooth","yellow","yes","almond","free","close","narrow","brown","enlarging","cup","silky","smooth","purple","purple","universal","white","one","pendant","green","clustered","waste"
"edible","flat","fibrous","red","yes","fishy","descending","close","broad","pink","enlarging","equal","smooth","smooth","gray","purple","partial","orange","one","large","brown","scattered","urban"
"edible","convex","fibrous","white","yes","anise","free","crowded","narrow","buff","tapering","rooted","smooth","silky","purple","white","universal","white","one","pendant","yellow","numerous","wood"
"edible","bell","grooves","cinnamon","yes","musty","descending","crowded","broad","gray","enlarging","rooted","scaly","smooth","purple","green","partial","orange","one","flaring","orange","numerous","waste"
"edible","flat","fibrous","yellow","yes","none","free","close","narrow","white","tapering","club","smooth","smooth","red","purple","partial","yellow","b","sheathing","brown","several","urban"
"edible","convex","smooth","purple","yes","fishy","free","close","broad","black","enlarging","club","fibrous","fibrous","gray","gray","partial","brown","one","cobwebby","chocolate","abundant","leaves"
"edible","convex","grooves","brown","yes","musty","free","close","broad","buff","enlarging","rooted","smooth","smooth","green","purple","partial","orange","two","pendant","black","scattered","grasses"
"edible","flat","scaly","yellow","yes","anise","free","close","broad","pink","enlarging","club","scaly","smooth","brown","brown","partial","orange","one","large","black","several","urban"
"edible","bell","scaly","brown","yes","none","attached","close","narrow","orange","enlarging","club","smooth","fibrous","red","red","partial","white","b","cobwebby","purple","abundant","wood"
"edible","flat","scaly","brown","no","pungent","notched","close","narrow","pink","tapering","cup","smooth","scaly","purple","purple","universal","yellow","one","zone","brown","clustered","leaves"
"poisonous","knobbed","smooth","green","yes","pungent","descending","close","narrow","white","enlarging","missing","scaly","smooth","buff","buff","partial","orange","one","pendant","brown","several","leaves"
"edible","flat","smooth","buff","yes","fishy","attached","close","broad","brown","enlarging","equal","fibrous","fibrous","purple","gray","partial","white","b","pendant","brown","solitary","grasses"
"edible","convex","smooth","brown","no","none","free","close","narrow","black","tapering","equal","fibrous","smooth","red","purple","universal","white","one","evanescent","purple","scattered","grasses"
"poisonous","convex","fibrous","cinnamon","yes","almond","attached","close","narrow","orange","enlarging","club","smooth","smooth","purple","brown","partial","brown","b","evanescent","black","abundant","grasses"
"edible","flat","fibrous","buff","no","none","free","close","narrow","black","enlarging","club","scaly","smooth","gray","gray","partial","white","one","large","chocolate","solitary","paths"
"edible","conical","fibrous","pink","no","none","descending","distant","broad","brown","enlarging","cup","smooth","scaly","purple","purple","partial","orange","one","evanescent","white","scattered","grasses"
"edible","convex","smooth","yellow","yes","musty","free","crowded","broad","buff","enlarging","rooted","smooth","scaly","green","purple","partial","white","one","pendant","black","scattered","wood"
"edible","knobbed","scaly","white","yes","foul","descending","distant","broad","black","enlarging","equal","smooth","smooth","purple","pink","partial","white","one","large","green","several","waste"
"edible","bell","scaly","red","no","almond","free","close","broad","white","enlarging","cup","smooth","silky","purple","brown","partial","white","one","pendant","black","scattered","urban"
"edible","conical","fibrous","white","yes","pungent","attached","distant","broad","brown","enlarging","cup","fibrous","smooth","purple","purple","partial","white","one","evanescent","white","clustered","wood"
"edible","flat","scaly","red","no","musty","free","crowded","narrow","white","enlarging","rhizomorphs","smooth","scaly","green","green","universal","yellow","two","zone","black","solitary","grasses"
"edible","bell","fibrous","cinnamon","no","almond","descending","close","broad","brown","enlarging","club","scaly","smooth","purple","purple","partial","orange","one","large","yellow","numerous","urban"
"edible","bell","grooves","brown","no","fishy","free","close","narrow","brown","enlarging","club","scaly","smooth","gray","gray","partial","white","one","flaring","chocolate","solitary","grasses"
"edible","bell","scaly","white","yes","anise","free","close","broad","black","enlarging","cup","fibrous","fibrous","gray","purple","partial","brown","b","pendant","chocolate","abundant","grasses"
"edible","convex","smooth","yellow","no","almond","notched","crowded","broad","gray","tapering","rooted","smooth","smooth","cinnamon","purple","partial","yellow","one","pendant","black","scattered","wood"
"edible","knobbed","fibrous","yellow","yes","anise","free","close","broad","gray","enlarging","cup","smooth","fibrous","buff","purple","partial","brown","one","pendant","brown","several","meadows"
"edible","convex","scaly","yellow","no","creosote","notched","crowded","narrow","yellow","tapering","equal","smooth","smooth","purple","purple","partial","white","two","zone","buff","solitary","grasses"
"edible","convex","scaly","red","yes","anise","descending","distant","broad","gray","enlarging","cup","scaly","scaly","buff","buff","partial","orange","one","pendant","brown","clustered","waste"
"edible","sunken","smooth","pink","no","anise","free","crowded","narrow","pink","enlarging","rhizomorphs","silky","silky","purple","purple","universal","white","two","none","brown","scattered","leaves"
"edible","sunken","scaly","buff","no","almond","free","close","narrow","brown","tapering","rhizomorphs","smooth","smooth","purple","purple","partial","white","one","pendant","black","solitary","grasses"
"edible","knobbed","fibrous","white","yes","almond","attached","close","broad","purple","enlarging","rooted","smooth","fibrous","green","green","partial","brown","two","evanescent","brown","scattered","waste"
"edible","knobbed","smooth","cinnamon","no","pungent","free","close","narrow","white","tapering","missing","smooth","smooth","purple","purple","universal","white","one","zone","black","several","urban"
"edible","convex","scaly","brown","no","none","notched","distant","narrow","pink","tapering","equal","fibrous","smooth","white","purple","universal","white","one","zone","black","numerous","wood"
"edible","bell","smooth","brown","no","almond","free","close","narrow","black","tapering","club","silky","silky","brown","purple","universal","white","b","none","black","abundant","paths"
"edible","knobbed","smooth","yellow","yes","anise","attached","close","broad","white","enlarging","rhizomorphs","fibrous","scaly","purple","purple","partial","brown","one","cobwebby","brown","several","grasses"
"edible","conical","smooth","buff","no","anise","free","distant","narrow","brown","enlarging","cup","silky","scaly","buff","purple","universal","white","one","pendant","brown","solitary","urban"
"edible","conical","smooth","white","no","anise","free","crowded","narrow","yellow","enlarging","cup","smooth","smooth","purple","purple","partial","yellow","one","pendant","brown","solitary","leaves"
"edible","convex","smooth","yellow","yes","almond","attached","close","broad","brown","enlarging","cup","fibrous","smooth","purple","pink","partial","brown","one","evanescent","green","numerous","meadows"
"edible","convex","smooth","yellow","yes","almond","free","close","narrow","gray","enlarging","rhizomorphs","smooth","smooth","purple","purple","universal","yellow","one","zone","brown","several","grasses"
"edible","bell","smooth","white","yes","anise","free","close","broad","brown","enlarging","cup","smooth","smooth","red","purple","universal","white","b","pendant","black","abundant","meadows"
"edible","bell","scaly","brown","no","none","notched","close","narrow","gray","enlarging","cup","smooth","smooth","purple","red","partial","white","b","zone","brown","scattered","meadows"
"edible","convex","smooth","yellow","no","spicy","free","crowded","narrow","black","tapering","rooted","smooth","silky","purple","white","universal","white","one","pendant","yellow","numerous","paths"
"edible","convex","scaly","pink","yes","anise","notched","close","narrow","black","enlarging","club","smooth","smooth","purple","purple","universal","yellow","b","sheathing","black","abundant","paths"
"edible","sunken","fibrous","gray","no","fishy","free","close","narrow","gray","enlarging","equal","fibrous","smooth","purple","purple","partial","brown","b","pendant","black","solitary","waste"
"edible","bell","fibrous","purple","yes","none","notched","close","narrow","white","tapering","club","smooth","smooth","purple","red","universal","yellow","one","zone","purple","several","wood"
"edible","bell","scaly","purple","yes","almond","attached","close","broad","brown","enlarging","cup","fibrous","fibrous","purple","purple","partial","brown","b","evanescent","purple","abundant","waste"
"poisonous","convex","smooth","white","yes","creosote","attached","crowded","broad","buff","enlarging","rooted","smooth","fibrous","purple","cinnamon","partial","white","one","pendant","brown","numerous","leaves"
"edible","conical","smooth","yellow","yes","pungent","free","distant","broad","brown","enlarging","rhizomorphs","silky","silky","purple","purple","universal","white","one","none","brown","scattered","grasses"
"edible","convex","fibrous","gray","no","spicy","free","crowded","broad","pink","enlarging","rooted","smooth","scaly","white","purple","partial","white","two","large","white","clustered","leaves"
"edible","flat","scaly","yellow","no","none","free","close","narrow","chocolate","tapering","equal","smooth","smooth","red","purple","universal","yellow","one","zone","purple","solitary","wood"
"edible","convex","fibrous","green","yes","anise","free","crowded","broad","purple","enlarging","club","smooth","smooth","white","white","partial","brown","two","pendant","purple","numerous","grasses"
"edible","sunken","fibrous","buff","no","creosote","attached","close","broad","yellow","enlarging","equal","fibrous","smooth","cinnamon","cinnamon","partial","brown","one","evanescent","brown","solitary","urban"
"poisonous","convex","scaly","white","yes","pungent","free","close","narrow","black","enlarging","rooted","smooth","fibrous","purple","white","partial","brown","two","evanescent","black","several","grasses"
"edible","knobbed","scaly","white","no","almond","free","distant","narrow","gray","enlarging","cup","smooth","smooth","purple","purple","universal","yellow","one","sheathing","brown","several","meadows"
"poisonous","flat","smooth","brown","no","pungent","free","close","narrow","chocolate","enlarging","equal","smooth","smooth","gray","gray","partial","white","one","none","chocolate","several","grasses"
"edible","flat","smooth","gray","no","none","free","distant","broad","white","tapering","equal","silky","silky","purple","purple","partial","white","one","evanescent","white","abundant","paths"
"edible","convex","scaly","white","yes","musty","free","crowded","broad","purple","enlarging","rooted","fibrous","smooth","green","green","partial","white","two","pendant","brown","numerous","meadows"
"edible","conical","scaly","yellow","no","none","notched","distant","broad","brown","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","white","clustered","grasses"
"edible","knobbed","scaly","cinnamon","no","anise","free","close","narrow","gray","enlarging","cup","smooth","smooth","buff","purple","universal","yellow","one","pendant","brown","several","grasses"
"edible","flat","smooth","gray","no","spicy","free","distant","broad","buff","tapering","rooted","silky","smooth","white","white","partial","white","two","pendant","brown","abundant","grasses"
"edible","convex","smooth","white","no","spicy","free","close","narrow","purple","tapering","cup","smooth","silky","white","white","universal","white","two","pendant","yellow","numerous","waste"
"edible","bell","scaly","white","yes","creosote","free","close","narrow","purple","tapering","rooted","smooth","smooth","cinnamon","cinnamon","universal","white","two","pendant","buff","numerous","urban"
"edible","bell","scaly","yellow","yes","musty","attached","crowded","broad","white","enlarging","cup","fibrous","fibrous","green","green","partial","brown","two","cobwebby","brown","scattered","grasses"
"edible","bell","smooth","purple","yes","anise","attached","close","broad","black","enlarging","club","smooth","smooth","gray","gray","partial","white","b","pendant","brown","abundant","wood"
"edible","flat","scaly","pink","yes","anise","descending","distant","narrow","pink","enlarging","cup","scaly","scaly","purple","buff","partial","white","one","pendant","purple","clustered","leaves"
"edible","convex","smooth","green","yes","creosote","attached","crowded","broad","gray","enlarging","rooted","fibrous","fibrous","purple","cinnamon","partial","white","two","cobwebby","buff","numerous","urban"
"edible","sunken","scaly","white","yes","almond","free","crowded","narrow","yellow","tapering","club","smooth","scaly","purple","purple","partial","white","one","pendant","brown","clustered","wood"
"poisonous","convex","fibrous","white","yes","pungent","free","close","broad","pink","enlarging","equal","fibrous","fibrous","pink","pink","partial","white","one","cobwebby","green","several","urban"
"edible","knobbed","fibrous","white","no","anise","free","distant","narrow","white","tapering","missing","silky","silky","buff","purple","partial","white","one","pendant","brown","several","wood"
"edible","convex","grooves","buff","yes","anise","descending","close","broad","pink","enlarging","cup","scaly","scaly","purple","buff","partial","orange","one","pendant","brown","scattered","grasses"
"poisonous","convex","scaly","brown","yes","pungent","attached","close","narrow","buff","enlarging","rooted","smooth","smooth","white","purple","partial","white","two","evanescent","yellow","numerous","waste"
"edible","convex","grooves","yellow","yes","anise","descending","close","broad","purple","enlarging","cup","smooth","scaly","white","white","partial","orange","two","large","brown","numerous","grasses"
"edible","convex","smooth","gray","yes","foul","free","close","narrow","white","enlarging","rhizomorphs","silky","scaly","pink","pink","partial","white","one","none","green","clustered","paths"
"edible","flat","smooth","yellow","no","anise","free","close","broad","red","tapering","cup","smooth","smooth","brown","purple","partial","white","one","none","black","scattered","meadows"
"edible","sunken","grooves","brown","yes","creosote","descending","close","broad","black","enlarging","equal","smooth","scaly","purple","cinnamon","partial","orange","two","large","brown","several","wood"
"edible","flat","grooves","buff","yes","almond","free","close","broad","chocolate","enlarging","equal","smooth","scaly","red","purple","partial","orange","b","flaring","black","scattered","paths"
"edible","flat","smooth","yellow","yes","almond","notched","close","broad","black","enlarging","cup","smooth","smooth","purple","purple","universal","yellow","b","pendant","black","numerous","wood"
"edible","conical","fibrous","gray","no","pungent","free","distant","broad","brown","tapering","cup","scaly","scaly","purple","purple","partial","white","one","evanescent","white","clustered","grasses"
"edible","flat","smooth","buff","no","fishy","free","distant","broad","black","tapering","equal","silky","fibrous","gray","gray","partial","white","b","evanescent","brown","abundant","urban"
"edible","convex","scaly","purple","no","fishy","free","close","narrow","white","tapering","cup","smooth","smooth","purple","red","partial","yellow","b","sheathing","purple","numerous","wood"
"edible","bell","scaly","pink","no","musty","free","close","narrow","yellow","enlarging","cup","smooth","smooth","green","purple","universal","yellow","one","sheathing","black","solitary","waste"
"edible","bell","grooves","red","yes","almond","free","close","broad","gray","enlarging","cup","scaly","scaly","brown","purple","partial","orange","b","flaring","black","numerous","meadows"
"edible","knobbed","smooth","brown","yes","anise","free","distant","broad","white","enlarging","missing","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","grasses"
"edible","conical","scaly","brown","yes","none","descending","distant","broad","brown","tapering","cup","fibrous","scaly","buff","purple","partial","white","one","large","brown","clustered","paths"
"edible","convex","fibrous","white","yes","anise","attached","crowded","broad","green","enlarging","cup","fibrous","smooth","cinnamon","cinnamon","partial","brown","two","cobwebby","brown","solitary","paths"
"edible","convex","fibrous","brown","no","spicy","free","crowded","broad","buff","enlarging","equal","fibrous","smooth","white","purple","partial","white","one","cobwebby","yellow","several","urban"
"edible","knobbed","scaly","purple","yes","pungent","descending","distant","broad","gray","enlarging","missing","scaly","smooth","purple","purple","partial","white","one","pendant","white","several","wood"
"edible","convex","grooves","purple","yes","fishy","descending","close","broad","black","enlarging","club","smooth","scaly","gray","purple","partial","orange","b","flaring","black","abundant","meadows"
"edible","bell","grooves","yellow","yes","foul","descending","distant","broad","pink","enlarging","cup","smooth","smooth","purple","pink","partial","orange","one","pendant","green","numerous","grasses"
"edible","convex","smooth","red","yes","creosote","descending","crowded","broad","black","enlarging","rhizomorphs","smooth","scaly","cinnamon","cinnamon","partial","white","two","pendant","buff","solitary","grasses"
"edible","sunken","smooth","buff","yes","spicy","descending","crowded","broad","green","enlarging","rhizomorphs","scaly","smooth","white","purple","partial","white","two","large","yellow","solitary","meadows"
"edible","flat","grooves","red","yes","none","descending","close","broad","red","enlarging","cup","scaly","scaly","red","purple","partial","white","b","pendant","black","scattered","grasses"
"edible","bell","fibrous","yellow","yes","anise","attached","close","broad","gray","enlarging","cup","fibrous","fibrous","brown","brown","partial","white","one","evanescent","black","abundant","grasses"
"edible","conical","smooth","red","no","anise","free","distant","broad","brown","tapering","equal","smooth","smooth","brown","purple","partial","brown","one","pendant","black","numerous","paths"
"edible","convex","fibrous","brown","no","none","free","close","broad","purple","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","large","brown","numerous","urban"
"edible","flat","smooth","pink","yes","pungent","free","distant","broad","brown","enlarging","rhizomorphs","smooth","scaly","purple","purple","partial","white","one","flaring","white","clustered","grasses"
"edible","convex","smooth","white","yes","musty","free","crowded","narrow","purple","enlarging","cup","smooth","silky","green","green","partial","white","one","none","orange","scattered","paths"
"edible","flat","smooth","yellow","yes","anise","free","close","broad","orange","enlarging","rhizomorphs","scaly","scaly","gray","purple","partial","white","one","pendant","chocolate","abundant","paths"
"edible","sunken","scaly","red","no","creosote","free","crowded","broad","yellow","enlarging","cup","smooth","smooth","purple","purple","universal","yellow","one","zone","brown","solitary","leaves"
"edible","convex","scaly","green","yes","almond","free","crowded","broad","purple","enlarging","rooted","scaly","scaly","cinnamon","purple","partial","white","one","pendant","black","numerous","meadows"
"edible","convex","scaly","pink","yes","anise","notched","close","broad","white","tapering","rhizomorphs","smooth","smooth","purple","purple","partial","white","b","pendant","black","scattered","grasses"
"edible","convex","scaly","white","yes","almond","free","crowded","narrow","buff","enlarging","cup","silky","smooth","cinnamon","purple","universal","white","two","none","buff","scattered","grasses"
"edible","knobbed","fibrous","gray","yes","none","attached","close","narrow","gray","enlarging","missing","smooth","fibrous","purple","white","partial","brown","two","cobwebby","yellow","solitary","paths"
"edible","bell","scaly","yellow","no","anise","notched","close","narrow","black","tapering","cup","smooth","smooth","brown","purple","partial","yellow","b","zone","brown","scattered","wood"
"edible","convex","fibrous","yellow","no","musty","free","distant","narrow","purple","tapering","rooted","silky","smooth","green","green","universal","white","one","pendant","orange","several","grasses"
"edible","bell","smooth","yellow","no","none","free","close","broad","black","tapering","cup","silky","silky","red","purple","partial","white","b","pendant","black","abundant","grasses"
"edible","flat","smooth","yellow","yes","anise","free","crowded","broad","pink","enlarging","rhizomorphs","scaly","scaly","white","purple","partial","orange","one","pendant","yellow","scattered","grasses"
"edible","sunken","smooth","white","yes","creosote","free","crowded","narrow","white","enlarging","rhizomorphs","smooth","smooth","purple","purple","universal","white","two","pendant","black","solitary","meadows"
"edible","bell","smooth","white","no","almond","free","crowded","narrow","green","tapering","rhizomorphs","smooth","smooth","cinnamon","purple","partial","yellow","two","zone","buff","solitary","urban"
"edible","knobbed","grooves","yellow","yes","almond","descending","close","broad","gray","enlarging","cup","scaly","scaly","pink","purple","partial","white","one","flaring","brown","several","grasses"
